Date,Open,High,Low,Close,Adj Close,Volume
03/11/2010,74.699997,75.190002,74.099998,74.510002,66.781326,3750175
04/11/2010,74.639999,75.099998,74.010002,74.419998,66.700653,4108145
08/11/2010,74.410004,75.199997,74,74.32,66.611023,1826310
09/11/2010,74.400002,74.800003,72.82,73.660004,66.019493,3879155
10/11/2010,73.68,74.199997,73.199997,73.760002,66.109116,1442595
11/11/2010,74,74.029999,71.019997,71.290001,63.895313,5767760
12/11/2010,71.599998,71.599998,69.019997,69.360001,62.165493,6484470
15/11/2010,69.699997,71.550003,68.059998,71.330002,63.931156,5346515
16/11/2010,71.800003,72.019997,66,66.449997,59.557354,13581775
18/11/2010,66.620003,68.239998,61.740002,64.440002,57.755844,30811560
19/11/2010,65,66.400002,63.060001,64.360001,57.684139,13063555
22/11/2010,64.400002,66,64,65.68,58.867218,7390675
23/11/2010,65.199997,65.980003,62,64.760002,58.042656,6178070
24/11/2010,64.82,65.589996,63,63.32,56.752018,7209965
25/11/2010,63.32,63.599998,60.5,61.029999,54.699547,20987305
26/11/2010,61.220001,64.190002,58,61.419998,55.049099,21125330
29/11/2010,61.939999,62.849998,61,61.580002,55.192501,7168645
30/11/2010,62.200001,62.48,60.75,61.23,54.878807,27414595
01/12/2010,61.779999,66.940002,61.619999,65.940002,59.100258,19027190
02/12/2010,66.599998,68.349998,66.110001,67.139999,60.175777,12375410
03/12/2010,67.300003,67.599998,65.059998,65.989998,59.145069,8312995
06/12/2010,66,67.519997,63.880001,64.769997,58.051609,9359035
07/12/2010,64.769997,64.900002,61.259998,61.889999,55.470345,15822090
08/12/2010,62,62.139999,59.599998,60.209999,53.964607,14243950
09/12/2010,60.419998,60.759998,56,57.200001,51.266827,17964635
10/12/2010,56.799999,60.380001,55.400002,58.740002,52.647083,20960515
13/12/2010,59.200001,61.799999,59.200001,61.52,55.138725,13401820
14/12/2010,61.900002,62.25,60.84,61.279999,54.923615,8832165
15/12/2010,61.279999,61.939999,59.200001,60,53.776386,10086820
16/12/2010,60.450001,61.18,59.419998,59.799999,53.597134,13671850
20/12/2010,59.900002,59.939999,57.459999,58.029999,52.010731,8755130
21/12/2010,57.599998,60.07,57.599998,59.889999,53.677795,11014830
22/12/2010,60.450001,62,60.09,61.84,55.425526,20035925
23/12/2010,62.200001,62.799999,61.799999,62.029999,55.595821,8018655
24/12/2010,62.060001,62.200001,61.220001,61.59,55.201462,3996530
27/12/2010,61.98,62.18,60.650002,61.169998,54.825027,3377110
28/12/2010,61.200001,61.59,60.82,61.209999,54.860878,5879880
29/12/2010,61.380001,62.16,61.110001,61.470001,55.093918,4875155
30/12/2010,61.939999,62.029999,61.060001,61.720001,55.317982,13223115
31/12/2010,62,62.98,62,62.560001,56.07085,12329945
03/01/2011,63,63.389999,62.860001,63.110001,56.563793,6548575
04/01/2011,63.299999,63.540001,61.099998,61.290001,54.932587,5065755
05/01/2011,60.93,60.93,58.060001,58.259998,52.216869,18675995
06/01/2011,58.599998,59.09,56.400002,56.610001,50.738022,12368650
07/01/2011,56.400002,56.59,53.84,54.049999,48.443565,34429150
10/01/2011,53.599998,54.98,51.919998,52.25,46.830269,16713970
11/01/2011,52.419998,55.18,51.360001,54.380001,48.73933,32736660
12/01/2011,54.900002,55.400002,53.23,55.02,49.312946,22224560
13/01/2011,54.900002,55.259998,52.860001,53.560001,48.004398,61854585
14/01/2011,53.580002,54.09,51.799999,52.029999,46.633099,13161815
17/01/2011,51,52.380001,50.73,50.970001,45.683037,10931255
18/01/2011,51.099998,52.450001,49.41,51.630001,46.274586,15656915
19/01/2011,51.830002,54.400002,51.830002,54.029999,48.425636,20409990
20/01/2011,54.200001,55.529999,53.049999,54.700001,49.026146,42452385
21/01/2011,54.84,55.700001,53.66,53.939999,48.344975,17220680
24/01/2011,53.93,57.080002,53.919998,56.860001,50.96209,24804665
25/01/2011,57.099998,57.880001,55.34,55.650002,49.877602,23455515
27/01/2011,55.790001,56.139999,52.540001,52.98,47.484554,18945785
